"date","team","goals","elo","rank","match_id","stage"
"4-Jul-1998","Germany",0,1936,2,"1998-165","World Cup"
"4-Jul-1998","Netherlands",2,2000,-1,"1998-166","World Cup"
"4-Jul-1998","Argentina",1,1905,9,"1998-166","World Cup"
"7-Jul-1998","Brazil",1,2086,1,"1998-167","World Cup"
"7-Jul-1998","Netherlands",1,2026,2,"1998-167","World Cup"
"8-Jul-1998","France",2,2026,1,"1998-168","World Cup"
"8-Jul-1998","Croatia",1,1951,7,"1998-168","World Cup"
"11-Jul-1998","Croatia",2,1970,3,"1998-169","World Cup"
"11-Jul-1998","Netherlands",1,1962,3,"1998-169","World Cup"
"12-Jul-1998","France",3,2045,0,"1998-170","World Cup"
"12-Jul-1998","Brazil",0,2002,1,"1998-170","World Cup"
"22-Jul-1998","Jamaica",4,1647,49,"1998-171","CONCACAF Champ qual & Carib Cup"
"22-Jul-1998","Cayman Islands",0,1106,171,"1998-171","CONCACAF Champ qual & Carib Cup"
"24-Jul-1998","Jamaica",3,1649,49,"1998-172","CONCACAF Champ qual & Carib Cup"
"24-Jul-1998","Netherlands Antilles",2,1231,142,"1998-172","CONCACAF Champ qual & Carib Cup"
"26-Jul-1998","Jamaica",2,1651,47,"1998-173","CONCACAF Champ qual & Carib Cup"
"26-Jul-1998","Haiti",1,1405,103,"1998-173","CONCACAF Champ qual & Carib Cup"
"29-Jul-1998","Jamaica",1,1656,48,"1998-174","CONCACAF Champ qual & Carib Cup"
"29-Jul-1998","Antigua and Barbuda",0,1215,147,"1998-174","CONCACAF Champ qual & Carib Cup"
"31-Jul-1998","Trinidad and Tobago",1,1460,78,"1998-175","CONCACAF Champ qual & Carib Cup"
"31-Jul-1998","Jamaica",2,1659,36,"1998-175","CONCACAF Champ qual & Carib Cup"
"19-Aug-1998","Austria",2,1703,31,"1998-176","Friendly"
"19-Aug-1998","France",2,2076,1,"1998-176","Friendly"
"19-Aug-1998","Czechia",1,1888,12,"1998-177","Friendly"
"19-Aug-1998","Denmark",0,1868,13,"1998-177","Friendly"
"19-Aug-1998","Norway",0,1896,11,"1998-178","Friendly"
"19-Aug-1998","Romania",0,1879,12,"1998-178","Friendly"
"2-Feb-2002","Canada",2,1590,46,"2002-1","CONCACAF Championship"
"2-Feb-2002","South Korea",1,1661,36,"2002-1","CONCACAF Championship"
"2-Feb-2002","United States",2,1772,19,"2002-2","CONCACAF Championship"
"2-Feb-2002","Costa Rica",0,1753,22,"2002-2","CONCACAF Championship"
"3-Feb-2002","Mali",2,1493,54,"2002-3","African Nations Cup"
"3-Feb-2002","South Africa",0,1567,47,"2002-3","African Nations Cup"
"3-Feb-2002","Nigeria",1,1732,30,"2002-4","African Nations Cup"
"3-Feb-2002","Ghana",0,1522,65,"2002-4","African Nations Cup"
"4-Feb-2002","Cameroon",1,1774,23,"2002-5","African Nations Cup"
"4-Feb-2002","Egypt",0,1614,48,"2002-5","African Nations Cup"
"4-Feb-2002","Senegal",2,1631,46,"2002-6","African Nations Cup"
"4-Feb-2002","Democratic Republic of Congo",0,1438,85,"2002-6","African Nations Cup"
"6-Feb-2002","Saudi Arabia",0,1706,36,"2002-7","Friendly"
"6-Feb-2002","Brazil",1,1837,14,"2002-7","Friendly"
"7-Feb-2002","Mali",0,1485,68,"2002-8","African Nations Cup"
"7-Feb-2002","Cameroon",3,1790,19,"2002-8","African Nations Cup"
"7-Feb-2002","Senegal",2,1654,38,"2002-9","African Nations Cup"
"7-Feb-2002","Nigeria",1,1683,31,"2002-9","African Nations Cup"
"9-Feb-2002","Mali",0,1475,75,"2002-10","African Nations Cup"
"9-Feb-2002","Nigeria",1,1714,30,"2002-10","African Nations Cup"
"10-Feb-2002","Cameroon",0,1798,22,"2002-11","African Nations Cup"
"10-Feb-2002","Senegal",0,1685,43,"2002-11","African Nations Cup"
"10-Feb-2002","Poland",2,1748,29,"2002-12","Friendly"
"10-Feb-2002","Faroe Islands",1,1243,147,"2002-12","Friendly"
"12-Feb-2002","Ecuador",1,1704,36,"2002-13","Friendly"
"12-Feb-2002","Turkey",0,1771,25,"2002-13","Friendly"
"12-Feb-2002","Honduras",5,1733,23,"2002-14","Friendly tournament"
"12-Feb-2002","Slovenia",1,1698,28,"2002-14","Friendly tournament"
